datetime,stock_code,exchange_code,open,high,low,close,volume,count
2023-09-06 15:05:00,JIOFIN,NSE,252.55,253.25,250.15,251.3,287925,71
2023-09-06 15:10:00,JIOFIN,NSE,251.2,259.7,250.1,259.6,370362,72
2023-09-06 15:15:00,JIOFIN,NSE,259.1,259.3,254.35,255.5,189089,73
2023-09-06 15:20:00,JIOFIN,NSE,255.35,256.15,250.25,250.35,289444,74
2023-09-06 15:25:00,JIOFIN,NSE,250.35,252.8,250,252.65,293817,75
2023-09-06 15:30:00,JIOFIN,NSE,252.5,254.45,251.95,252.85,278960,76
2023-09-06 15:40:00,JIOFIN,NSE,252.85,252.85,252.85,252.85,1348,77
2023-09-06 15:45:00,JIOFIN,NSE,252.85,252.85,252.85,252.85,63975,78
2023-09-06 15:50:00,JIOFIN,NSE,252.85,252.85,252.85,252.85,168607,79
2023-09-06 15:55:00,JIOFIN,NSE,252.85,252.85,252.85,252.85,142368,80
2023-09-06 16:00:00,JIOFIN,NSE,252.85,252.85,252.85,252.85,55565,81
2023-09-07 09:10:00,JIOFIN,NSE,252,252,252,252,10,82
2023-09-07 09:15:00,JIOFIN,NSE,253.05,253.7,253.05,253.7,535,83
2023-09-07 09:20:00,JIOFIN,NSE,253.9,254.7,253.1,253.7,42739,84
2023-09-07 09:25:00,JIOFIN,NSE,253.7,254.9,253.4,254.35,38081,85
2023-09-07 09:30:00,JIOFIN,NSE,254.35,254.45,253.25,253.9,28328,86
2023-09-07 09:35:00,JIOFIN,NSE,253.95,255.6,253.8,255.2,34629,87
2023-09-07 09:40:00,JIOFIN,NSE,255.2,256.3,255,256,59775,88
2023-09-07 09:45:00,JIOFIN,NSE,256.05,256.4,255.25,255.25,32329,89
2023-09-07 09:50:00,JIOFIN,NSE,255.25,255.25,253.45,253.75,40319,90
2023-09-07 09:55:00,JIOFIN,NSE,253.85,254.35,253.45,253.95,13319,91
2023-09-07 10:00:00,JIOFIN,NSE,253.95,254.2,253.75,254.05,11788,92
2023-09-07 10:05:00,JIOFIN,NSE,254.15,254.5,253.85,253.95,5972,93
2023-09-07 10:10:00,JIOFIN,NSE,253.95,254.75,253.85,254.55,5696,94
2023-09-07 10:15:00,JIOFIN,NSE,254.6,254.95,254.15,254.4,31460,95
2023-09-07 10:20:00,JIOFIN,NSE,254.4,254.45,253.85,253.95,27531,96
2023-09-07 10:25:00,JIOFIN,NSE,254,254.35,253.9,253.95,3849,97
2023-09-07 10:30:00,JIOFIN,NSE,253.9,254.2,253.85,254,6072,98
2023-09-07 10:35:00,JIOFIN,NSE,254,254.05,253.85,254.05,4238,99
2023-09-07 10:40:00,JIOFIN,NSE,254,254.15,253.7,253.7,8089,100
2023-09-07 10:45:00,JIOFIN,NSE,253.75,254,253.7,253.9,6577,101
2023-09-07 10:50:00,JIOFIN,NSE,253.85,255,253.85,255,17133,102
2023-09-07 10:55:00,JIOFIN,NSE,254.95,255.3,254.7,255.2,25813,103
2023-09-07 11:00:00,JIOFIN,NSE,255.2,256.15,255,255.15,62932,104
2023-09-07 11:05:00,JIOFIN,NSE,255.35,256.2,254.75,255.8,49151,105
2023-09-07 11:10:00,JIOFIN,NSE,255.8,255.95,255.15,255.4,25007,106
2023-09-07 11:15:00,JIOFIN,NSE,255.3,256.6,255.3,256.5,28843,107
2023-09-07 11:20:00,JIOFIN,NSE,256.4,257.3,256.2,257,50580,108
2023-09-07 11:25:00,JIOFIN,NSE,257.1,257.1,255.65,256,23314,109
2023-09-07 11:30:00,JIOFIN,NSE,256.05,256.3,255.4,255.5,23848,110
2023-09-07 11:35:00,JIOFIN,NSE,255.5,255.7,255.1,255.2,13121,111
2023-09-07 11:40:00,JIOFIN,NSE,255.25,255.5,254.5,254.5,29313,112
2023-09-07 11:45:00,JIOFIN,NSE,254.5,255.2,254.3,254.8,43730,113
2023-09-07 11:50:00,JIOFIN,NSE,254.8,254.8,254.2,254.5,18952,114
2023-09-07 11:55:00,JIOFIN,NSE,254.5,254.6,254.1,254.55,14101,115
2023-09-07 12:00:00,JIOFIN,NSE,254.4,255.1,254.4,254.65,18343,116
2023-09-07 12:05:00,JIOFIN,NSE,254.65,254.85,254.45,254.55,9624,117
2023-09-07 12:10:00,JIOFIN,NSE,254.5,254.7,254.2,254.5,20932,118
2023-09-07 12:15:00,JIOFIN,NSE,254.55,254.8,254.45,254.55,5332,119
2023-09-07 12:20:00,JIOFIN,NSE,254.65,254.95,254.6,254.8,4930,120
2023-09-07 12:25:00,JIOFIN,NSE,254.8,255,254.65,254.9,4762,121
2023-09-07 12:30:00,JIOFIN,NSE,254.9,254.95,254.5,254.5,6147,122
2023-09-07 12:35:00,JIOFIN,NSE,254.35,254.4,253.6,253.9,10713,123
2023-09-07 12:40:00,JIOFIN,NSE,253.95,254.1,253.6,254,15629,124
2023-09-07 12:45:00,JIOFIN,NSE,254.05,254.45,254,254.25,9259,125
2023-09-07 12:50:00,JIOFIN,NSE,254.45,254.7,254.25,254.55,12397,126
2023-09-07 12:55:00,JIOFIN,NSE,254.5,254.65,254.15,254.15,12594,127
2023-09-07 13:00:00,JIOFIN,NSE,254.05,254.4,253.85,253.95,14577,128
2023-09-07 13:05:00,JIOFIN,NSE,253.95,254,253.8,253.8,8742,129
2023-09-07 13:10:00,JIOFIN,NSE,253.9,254,253.8,254,4524,130
2023-09-07 13:15:00,JIOFIN,NSE,254,254,253.85,253.85,6904,131
2023-09-07 13:20:00,JIOFIN,NSE,253.85,254,253.8,253.9,4012,132
2023-09-07 13:25:00,JIOFIN,NSE,254,254.5,254,254.05,30924,133
2023-09-07 13:30:00,JIOFIN,NSE,254.1,254.35,253.85,253.9,9543,134
2023-09-07 13:35:00,JIOFIN,NSE,253.95,254,253.55,253.75,6304,135
2023-09-07 13:40:00,JIOFIN,NSE,253.6,254,253.6,253.8,5328,136
2023-09-07 13:45:00,JIOFIN,NSE,253.7,254,253.65,253.9,6083,137
2023-09-07 13:50:00,JIOFIN,NSE,253.8,254,253.7,253.95,5615,138
2023-09-07 13:55:00,JIOFIN,NSE,254,254,253.6,253.8,5886,139
2023-09-07 14:00:00,JIOFIN,NSE,253.75,253.95,253.7,253.75,9889,140
2023-09-07 14:05:00,JIOFIN,NSE,253.7,253.7,253.25,253.3,7342,141
2023-09-07 14:10:00,JIOFIN,NSE,253.45,253.45,252.3,252.9,29545,142
2023-09-07 14:15:00,JIOFIN,NSE,252.9,252.95,251.45,252.85,36664,143
2023-09-07 14:20:00,JIOFIN,NSE,252.85,253,252.7,252.75,17650,144
2023-09-07 14:25:00,JIOFIN,NSE,252.8,253,252.65,252.65,35812,145
2023-09-07 14:30:00,JIOFIN,NSE,252.7,252.85,252.6,252.85,6214,146
2023-09-07 14:35:00,JIOFIN,NSE,252.85,252.9,252.65,252.9,3087,147
2023-09-07 14:40:00,JIOFIN,NSE,252.9,252.95,252.8,252.9,12242,148
2023-09-07 14:45:00,JIOFIN,NSE,252.85,253,252.85,252.9,5646,149
2023-09-07 14:50:00,JIOFIN,NSE,252.85,253,251.4,251.5,20647,150
2023-09-07 14:55:00,JIOFIN,NSE,251.5,252,251.4,252,28810,151
2023-09-07 15:00:00,JIOFIN,NSE,252,252,251.7,251.9,9792,152
2023-09-07 15:05:00,JIOFIN,NSE,251.95,252,251.7,251.75,23423,153
2023-09-07 15:10:00,JIOFIN,NSE,251.75,251.85,251.3,251.45,30150,154
2023-09-07 15:15:00,JIOFIN,NSE,251.45,251.5,251.3,251.4,11846,155
2023-09-07 15:20:00,JIOFIN,NSE,251.35,251.45,251.3,251.4,11246,156
2023-09-07 15:25:00,JIOFIN,NSE,251.4,252.65,251.35,252.6,23463,157
2023-09-07 15:30:00,JIOFIN,NSE,252.5,252.8,251.8,252.7,28995,158
2023-09-07 15:40:00,JIOFIN,NSE,251.8,251.8,251.8,251.8,5095,159
2023-09-07 15:45:00,JIOFIN,NSE,251.8,251.8,251.8,251.8,43171,160
2023-09-07 15:50:00,JIOFIN,NSE,251.8,251.8,251.8,251.8,13222,161
2023-09-07 15:55:00,JIOFIN,NSE,251.8,251.8,251.8,251.8,10027,162
2023-09-07 16:00:00,JIOFIN,NSE,251.8,251.8,251.8,251.8,7007,163
